Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
A Child is Born	Pmo-P1	A_Child_is_Born_(Promo)	Promo	GE	White					Discard all Demons in Play.  Can [not] be interrupted, negated, or prevented.	Promo			Good	
A Look Back	Wom	A_Look_Back_(Wo)	Women	EE	Black	2	1			Discard one Hero from each opponent's territory or set-aside area.	Common	Genesis 19:6		Evil	
A Mighty Blow	AW	A_Mighty_Blow_(AW)	Angel Wars	GE	Silver	5	0			This card is worth 10/0 if a demon is in battle.	Common	Revelation 12:9		Good	
A New Beginning	Pat	A_New_Beginning_(Pa)	Patriarchs	GE	Green	4	5			ALL players shuffle ALL cards in the field of play, set-aside areas and their hands (except this one) back into their draw pile.  Only cards in Land of Redemption and discard piles remain.  ALL players Draw 8 new cards.  Holder may begin a new turn.	Ultra Rare	Genesis 8:17	anb	Good	
A New Beginning (FoM)	FoM	026-A-New-Beginning-R	Fall of Man	Dominant					Unity Heroes (Flood Survivors)	Negate protect abilities. If it is your turn banish this card: Shuffle all cards in play, set-aside, and hands. Each player must draw 8. Begin a new turn.	Rare	Genesis 8:17		Good	Rotation
A New Commandment	Di	A_New_Commandment_(Di)	Disciples	GE	Purple	1	3		X = # of your good disciples in battle	Convert X human Evil Character Characters to Heroes in the brigade of your choice.  Cannot be prevented by an Evil Character card.	Fixed	John 13:34-35		Good	
A New Creation	Ap	A_New_Creation_(Ap)	Apostles	GE	Gold					Convert one human Evil Character to a red brigade Hero.	Uncommon	II Corinthians 5:17		Good	
A New Creation	TEC	A_New_Creation_(EC)	Early Church	GE	Clay			Territory		If all your Heroes are clay, you may remove your discard pile and this card from the game to convert a human Evil Character to a clay hero.	Common	II Corinthians 5:17		Good	Rotation
A Roman Soldier's Faith	Ap	A_Roman_Soldier's_Faith_(Ap)	Apostles	GE	Red	3	3			Heal any Hero in play.	Common	Matthew 8:5-6		Good	
A Royal Priesthood	PoC	210-A-Royal-Priesthood-R	Prophecies of Christ	GE	Green/Purple/Teal			Territory		(Star) Topdeck The Tabernacle or a Temple from deck or Reserve. (GE) Place on your male human Hero: He gains “High Priest” and “King of Judah”.	Rare	Zechariah 6:13		Good	Rotation
A Soldier's Prayer	TxP	A_Soldier's_Prayer_(TxP)	Thesaurus ex Preteritus	GE	Red			Territory		If used by a warrior class Hero, search your deck or discard pile for a red Enhancement. Shuffle this card into that pile.	Fixed	Psalm 60:5		Good	
A Wife for Isaac	Pat	A_Wife_for_Isaac_(Pa)	Patriarchs	GE	Blue	2	3			Hero ignores all female Evil Characters	Uncommon	Genesis 24:16-17		Good	
Aaron (Di)	Di	Aaron_(Di)	Disciples	Hero	Green/Teal	6	4		Prophet, Tabernacle High Priest	Protect your Tabernacle artifacts from opponents' cards.  May band to an Exodus or Leviticus Hero.  Cannot be negated by a good card.	Fixed	Exodus 4:14		Good	
Aaron (G)	10A	Aaron_(G)	10th Anniversary	Hero	Green	6	4		Priest	May band to Miriam.  Protect all active Holy of Holies artifacts from discard while Aaron is in play.	Deck	Exodus 4:14		Good	
Aaron (Pa)	Pat	Aaron_(Pa)	Patriarchs	Hero	Green	6	4			May band to Miriam.  Holy of Holies cannot be discarded while Aaron is in play.	Uncommon	Exodus 4:14		Good	
Aaron (Pi)	Pri	Aaron_(Pi)	Priests	Hero	Teal	6	4		Tabernacle High Priest	Protect your Tabernacle Artifacts from evil discard abilities while Aaron remains in play.  May band to Miriam.	Uncommon	Exodus 4:14		Good	
Aaron and Miriam's Dissent	10A	Aaron_and_Miriam's_Dissent_(H)	10th Anniversary	EE	Brown	3	3			Decrease all O.T. heroes in play by 2/2 until the end of the turn.	Deck	Numbers 12:1		Evil	
Aaron, God's Mediator	PoC	037-Aaron-Gods-Mediator-R	Prophecies of Christ	Hero	Teal	7	6		Tabernacle High Priest, Prophet	(Star) Look at the bottom 10 cards of deck: Topdeck an Exodus card or a Dominant. (Hero) May band to an Exodus human or a Tabernacle priest. Cannot be negated.	Rare	Exodus 28:1		Good	Rotation
Aaron, Moses' Brother (1st Print - L)	L1P	L20-1P-Aaron	L Starter (1st Print)	Hero	Clay	6	12		Prophet, Tabernacle High Priest	May band to a generic priest, or you may draw 2.	Starter	Exodus 4:14		Good	Rotation
Aaron, Moses' Brother [L]	L	L20-Aaron	L Starter	Hero	Clay	6	12		Prophet, Tabernacle High Priest, Wilderness	May band to a generic priest, or you may draw 2.	Starter	Exodus 4:14		Good	Rotation
Aaron, Peacemaker	IR	030-Aaron-Peacemaker-R	Israel's Rebellion	Hero	Clay/White	12	8		Prophet, Tabernacle High Priest, Wilderness	You may take a Tabernacle Artifact from deck. May band to Moses or a Tabernacle priest. Cannot be interrupted.	Rare	Leviticus 8:12		Good	Rotation
Aaron's Rod (C)	2E	Aaron's_Rod_(CU)	2nd Edition	GE	Green					Discard all evil enhancement cards currently in the Field of Battle.  Cannot be negated.	Deck	Exodus 7:12		Good	
Aaron's Rod (G)	10A	Aaron's_Rod_(G)	10th Anniversary	GE	Green					All evil enhancement cards now in play must be discarded. Cannot be prevented, interrupted, or negated.	Deck	Exodus 7:12		Good	
Aaron's Rod (L)	Main	Aaron's_Rod_(A)	Main	GE	Green					All evil enhancement cards now in play must be discarded.	Rare	Exodus 7:12		Good	
Aaron's Rod (UL)	Main UL	Aaron's_Rod_(UL)	Main Unlimited	GE	Green					All evil enhancement cards now in play must be discarded.	Rare	Exodus 7:12		Good	
Aaron's Staff (CoW AB)	CoW (AB)	CoW_AB_N03-Aarons-Staff-R	Cloud of Witnesses (Alternate Border)	Artifact					Tabernacle, Solomon's Temple, X = # o your Tabernacle Priests	Once per turn, if your good Tabernacle Priest enters battle, reveal the top X cards of opponent’s deck: Put Lost Souls in play and discard an evil card. Good Tabernacle Priests cannot be negated.	Rare	Hebrews 9:4,6		Neutral	Rotation
